uri,creation_timestamp,title,top_creation_timestamp,top_title,dubbing_info,media_variants,product_tags,media_metadata.camera_metadata.has_camera_metadata,cross_post_source.source_app,creation_date,creation_month,top_creation_date,likes,comments,reach,impressions,saves,shares,profile_visits,follows,followers_count,engagement,engagement_rate,hour,weekday,like_rate,comment_rate,save_rate,performance_label
media/posts/202405/17888357420965925.jpg,2024-05-12 20:01:01+07:00,,2024-05-12 20:01:01+07:00,Elora,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Sunday,,,,Quantile 0.25
media/posts/202405/17910007361859254.jpg,2024-05-12 20:01:01+07:00,,2024-05-12 20:01:01+07:00,Elora,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Sunday,,,,Quantile 0.25
media/posts/202405/18112940428373262.jpg,2024-05-12 20:01:01+07:00,,2024-05-12 20:01:01+07:00,Elora,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Sunday,,,,Quantile 0.25
media/posts/202405/17878732743033743.jpg,2024-05-11 22:01:05+07:00,,2024-05-11 22:01:05+07:00,Nadya,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Saturday,,,,Quantile 0.25
media/posts/202405/18236522326250774.jpg,2024-05-11 22:01:05+07:00,,2024-05-11 22:01:05+07:00,Nadya,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Saturday,,,,Quantile 0.25
media/posts/202405/17917349885919590.jpg,2024-05-11 22:01:05+07:00,,2024-05-11 22:01:05+07:00,Nadya,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Saturday,,,,Quantile 0.25
media/posts/202405/18266119780238921.jpg,2024-05-11 22:01:05+07:00,,2024-05-11 22:01:05+07:00,Nadya,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Saturday,,,,Quantile 0.25
media/posts/202405/17857342218163495.jpg,2024-05-11 22:01:05+07:00,,2024-05-11 22:01:05+07:00,Nadya,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Saturday,,,,Quantile 0.25
media/posts/202405/18032791954817643.jpg,2024-05-11 22:01:05+07:00,,2024-05-11 22:01:05+07:00,Nadya,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Saturday,,,,Quantile 0.25
media/posts/202405/18021793214177019.jpg,2024-05-11 20:00:58+07:00,,2024-05-11 20:00:58+07:00,Komang,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Saturday,,,,Quantile 0.25
