dominant_hex_1,dominant_hex_2,dominant_hex_3,dominant_pct_1,dominant_pct_2,dominant_pct_3,avg_hue01,avg_saturation,avg_value,std_value,colorfulness,warm_ratio,uri,engagement,engagement_rate,log_engagement_rate,performance_label_log
#020202,#F1F1F1,#B5B5B5,0.7958,0.0782,0.0536,0.0,0.0,0.14095372549019608,0.29263596389149893,74.6221707923319,1.0,media/other/18014448080322212.jpg,43.0,0.043,0.042101176018635396,Medium
#CCD0CD,#252624,#BCB5A4,0.6212,0.1304,0.1154,0.3372015306751328,0.13349083133683204,0.6886525490196078,0.2307219793219818,62.93069898043516,0.2772,media/other/18038905898122643.jpg,45.0,0.045,0.04401688541677433,Medium
#926244,#764C33,#AA7D60,0.3388,0.265,0.1658,0.13749870386732257,0.4626776771115532,0.5748117647058824,0.19213804113504196,54.49640132766945,0.8742,media/other/18456218011048830.jpg,66.0,0.066,0.0639133257436528,Medium
#63442B,#AE8F68,#886A49,0.3296,0.2676,0.2532,0.08854684626517531,0.4795738880636722,0.48973254901960783,0.18533218112044647,43.306731197151976,0.997,media/other/18042693433999823.jpg,38.0,0.038,0.037295784743696894,Low
#C4BAAB,#B3937F,#443B33,0.5574,0.1498,0.1388,0.10560727435486499,0.20052198198419185,0.6214674509803921,0.2293536287779255,56.552087169972786,0.9632,media/other/17862709995225803.jpg,58.0,0.058,0.05638033343610764,Medium
#0E1F21,#3C4847,#637576,0.2484,0.2284,0.1946,0.49189508296078266,0.35106860495352304,0.4371160784313726,0.2375670980096937,60.86617659298321,0.0674,media/other/17877153768138002.jpg,53.0,0.053,0.05164323315183845,Medium
#211B17,#3E3730,#63594D,0.3742,0.3596,0.1586,0.15686819646463318,0.27017324728181946,0.2896839215686275,0.2088372210789027,49.51687910785582,0.8558,media/other/17974486238764986.jpg,38.0,0.038,0.037295784743696894,Low
#C8CECA,#9B6137,#613C25,0.46,0.2462,0.1306,0.22794567281272365,0.32991032676230425,0.6293882352941177,0.2330855287857547,69.2581677041869,0.5144,media/other/18106327948420268.jpg,209.0,0.209,0.18979357163265562,High
#0E2533,#274355,#4E2809,0.5172,0.3142,0.0712,0.4745768075387405,0.6572605432498414,0.3119482352941177,0.1911217663215282,45.49279042618516,0.1778,media/other/18247786750270333.jpg,59.0,0.059,0.05732506661926941,Medium
#050F10,#878579,#232B2B,0.3898,0.184,0.1602,0.3731286219455254,0.3786791738190354,0.29693568627450984,0.23956836149927946,60.95441709507338,0.155,media/other/18241951717281534.jpg,45.0,0.045,0.04401688541677433,Medium
#190E05,#513B23,#8F7453,0.5404,0.1848,0.1448,0.09619514695755661,0.6132339456671893,0.29900235294117644,0.2623191654638049,61.10704375301858,0.9824,media/other/18035981891502153.jpg,60.0,0.06,0.05826890812397577,Medium
#121A53,#06052C,#BC977C,0.4336,0.307,0.1242,0.5245029439589087,0.7239772488383038,0.3571639215686274,0.20326625103126317,50.03391478843874,0.2398,media/other/17958644030689080.jpg,47.0,0.047,0.045928931888399804,Medium
#92A5CB,#758EBE,#A9B8D5,0.4034,0.2994,0.236,0.5770848216213282,0.31717948722096495,0.7860470588235293,0.07611168022192984,29.719534951165787,0.066,media/other/17946103076836768.jpg,43.0,0.043,0.042101176018635396,Medium
#090808,#A56F4F,#884F33,0.3302,0.2348,0.2164,0.16659511147976103,0.49937404354627124,0.40207215686274506,0.27824783769870726,53.620191235168676,0.765,media/other/17937870722778569.jpg,29.0,0.029,0.028587456851912555,Low
#D7DBE9,#372626,#A26A37,0.4522,0.2672,0.1162,0.4766345460618644,0.26199003848517616,0.6301623529411765,0.30171308827450616,80.35722099725662,0.4372,media/other/18075787819477816.jpg,77.0,0.077,0.07417939817425151,High
#AC978E,#978379,#C5B1A9,0.3762,0.3304,0.1344,0.0844929779423826,0.1868582378592238,0.6063458823529412,0.1490909235318662,35.92364698711304,0.9736,media/other/18055332136778544.jpg,207.0,0.207,0.18813794211539445,High
#BBB2C7,#928099,#945B3F,0.4704,0.145,0.1324,0.4941340109679356,0.3200370623277015,0.6081709803921569,0.21493451202735753,61.736033275900866,0.361,media/other/18004523168405848.jpg,65.0,0.065,0.06297479916138844,Medium
#111816,#3E2A20,#694A40,0.5526,0.2192,0.1152,0.29444656151807397,0.43821103954014723,0.2359788235294118,0.1986734365922676,44.4337232903461,0.5308,media/other/18060957856634788.jpg,61.0,0.061,0.05921185963184609,Medium
#061816,#8A7B75,#A3A09D,0.3284,0.1858,0.1812,0.3063063806001987,0.39324508015094806,0.3456470588235295,0.21819139843587626,56.62226220997451,0.4406,media/other/18102534739428893.jpg,64.0,0.064,0.06203539091945264,Medium
#C0BCB8,#B6A89D,#A78D74,0.3938,0.2782,0.1564,0.18141470943006116,0.18616365788070757,0.676598431372549,0.13114753555489428,40.76205910501573,0.849,media/other/17893945524058870.jpg,55.0,0.055,0.05354076692802982,Medium
#211B18,#8A847F,#6D635A,0.3184,0.2188,0.2058,0.09780586649334028,0.21154668661879245,0.35551372549019605,0.18164740018255032,43.33793962225999,0.9502,media/other/18195823267293456.jpg,125.0,0.125,0.11778303565638346,High
#33281E,#0D0E0B,#584838,0.5274,0.2926,0.0974,0.15050848081881368,0.3815070870684974,0.212681568627451,0.16242426857719683,35.29490846332536,0.7072,media/other/17854112100248006.jpg,56.0,0.056,0.05448818528406973,Medium
#3B2115,#240D05,#4F3327,0.2788,0.2492,0.2286,0.049259000719877315,0.6038221944592522,0.2806133333333333,0.1202845798376201,28.43094464177426,1.0,media/other/17953315721816843.jpg,48.0,0.048,0.046883585898850416,Medium
#7C5642,#694334,#46362C,0.3492,0.2982,0.2176,0.058130409077932835,0.4467566423975508,0.4036658823529412,0.11949938824209322,24.311444181472705,0.9972,media/other/18049516135858462.jpg,70.0,0.07,0.06765864847381481,Medium
#544940,#3D352D,#6B6054,0.2986,0.2758,0.2062,0.08034744140632967,0.23485812042522494,0.3277294117647059,0.11642368891361306,28.53856676336967,0.9984,media/other/17986568606549394.jpg,55.0,0.055,0.05354076692802982,Medium
#201C17,#3B332C,#7C6D61,0.4696,0.2542,0.1278,0.10354361619275772,0.2599704102910692,0.24494823529411766,0.15241460587479044,34.42369293341927,0.924,media/other/18024994208515299.jpg,56.0,0.056,0.05448818528406973,Medium
