uri,creation_timestamp,title,top_creation_timestamp,top_title,dubbing_info,media_variants,product_tags,media_metadata.camera_metadata.has_camera_metadata,cross_post_source.source_app,creation_date,creation_month,top_creation_date,likes,comments,reach,impressions,saves,shares,profile_visits,follows,followers_count,engagement,engagement_rate,hour,weekday,performance_label,engagement_rate_w,log_engagement_rate,performance_label_log
media/other/18038413597847490.jpg,2024-04-20 20:00:55+07:00,"Honey, look what the ducks laid.",,,,,,False,FB,2024-04-20,2024-04,,76.0,1.0,1267.0,1451.0,6.0,1.0,36.0,0.0,1000,77.0,0.077,20,Saturday,Quantile 0.75,0.077,0.07417939817425151,High
media/other/18087852622440491.jpg,2024-04-18 20:00:58+07:00,Life in hands.,,,,,,False,FB,2024-04-18,2024-04,,78.0,0.0,1243.0,1406.0,2.0,2.0,32.0,0.0,1000,78.0,0.078,20,Thursday,Quantile 0.75,0.078,0.07510747248680541,High
media/other/17997627800544484.jpg,2024-04-14 22:00:51+07:00,Head on tilt.,,,,,,False,FB,2024-04-14,2024-04,,135.0,6.0,1545.0,1719.0,17.0,5.0,58.0,1.0,1000,141.0,0.141,22,Sunday,Quantile 0.75,0.141,0.13190507087993858,High
media/other/17854642941157571.jpg,2024-04-10 20:01:30+07:00,Cold warmth.,,,,,,False,FB,2024-04-10,2024-04,,121.0,1.0,1410.0,1623.0,13.0,9.0,35.0,3.0,1000,122.0,0.122,20,Wednesday,Quantile 0.75,0.122,0.11511280710050457,High
media/other/18425747479003208.jpg,2024-04-05 20:02:30+07:00,"Silver fork, reclining.",,,,,,False,FB,2024-04-05,2024-04,,121.0,1.0,2474.0,2989.0,8.0,3.0,72.0,3.0,1000,122.0,0.122,20,Friday,Quantile 0.75,0.122,0.11511280710050457,High
media/other/17897838125976076.jpg,2024-04-03 20:02:30+07:00,Venus surrounded by eggs.,,,,,,False,FB,2024-04-03,2024-04,,81.0,1.0,840.0,974.0,2.0,0.0,21.0,0.0,1000,82.0,0.082,20,Wednesday,Quantile 0.75,0.082,0.07881118042428978,High
media/other/18101421166386156.jpg,2024-04-01 20:00:59+07:00,Chromatic contrast.,,,,,,False,FB,2024-04-01,2024-04,,121.0,3.0,1516.0,1721.0,7.0,1.0,48.0,1.0,1000,124.0,0.124,20,Monday,Quantile 0.75,0.124,0.11689375147149933,High
media/other/18023821175041365.jpg,2024-03-31 21:01:28+07:00,Accent curves and colors.,,,,,,False,FB,2024-03-31,2024-03,,287.0,6.0,3250.0,3706.0,28.0,23.0,160.0,0.0,1000,293.0,0.293,21,Sunday,Quantile 0.75,0.293,0.25696509978972043,High
media/other/17983964519649672.jpg,2024-03-31 21:01:00+07:00,A question of context.,,,,,,False,FB,2024-03-31,2024-03,,99.0,0.0,2354.0,2631.0,6.0,6.0,82.0,0.0,1000,99.0,0.099,21,Sunday,Quantile 0.75,0.099,0.09440067542148432,High
media/other/18000107516596228.jpg,2024-03-30 20:02:30+07:00,28 tiny pearls.,,,,,,False,FB,2024-03-30,2024-03,,146.0,7.0,12833.0,21900.0,30.0,19.0,671.0,120.0,1000,153.0,0.153,20,Saturday,Quantile 0.75,0.153,0.14236724128692196,High
